date	pupularity	change
20130701	4	1.91813040143
20130801	0	0
20130901	1	0
20131001	5	0
20131101	4	0
20131201	6	0
20140101	0	0
20140201	2	0
20140301	1	0
20140401	2	0
20140501	5	0
20140601	4	0
20140701	2	0
20140801	3	3.49637605401
20140901	4	0.5
20141001	5	0
20141101	10	1.23044892138
20141201	6	0
20150101	13	2.19359699685
20150201	6	0
20150301	8	0
20150401	3	0.602059991328
20150501	3	0
20150601	7	0.451544993496
20150701	7	0.422549020007
20150801	12	0
20150901	45	0
20151001	10	0
20151101	3	0
20151201	2	0
20160101	2	0
20160201	7	0
20160301	3	0.698970004336
20160401	4	1.63346845558
20160501	2	0
20160601	2	0
20160701	15	0.639376800476
20160801	11	0
20160901	5	0
20161001	4	0
20161101	19	1.39794000867
20161201	21	0.588045629528
20170101	11	0
20170201	44	0.451544993496
20170301	12	0